Security,Trans type,Qty,Open date,Cost,Close date,Proceeds,ST gain($),LT gain($),OR gain($)
AIR TRANSPORT SERVICES GROU (ATSG),Sell.FIFO,100.,,155.00 ,2019-07-24,"2,410.99 ",,"2,255.99 ",
CISCO SYSTEMS INC (CSCO),Sell.FIFO,200.,2000-01-05,"10,224.00 ",2019-07-24,"11,472.96 ",,"1,248.96 ",
CISCO SYSTEMS INC (CSCO),Sell.FIFO,100.,2000-10-17,"5,477.50 ",2019-07-24,"5,736.48 ",,258.98 ,
CISCO SYSTEMS INC (CSCO),Sell.FIFO,100.,2001-03-15,"2,099.00 ",2019-07-24,"5,736.48 ",,"3,637.48 ",
CISCO SYSTEMS INC (CSCO),Sell.FIFO,100.,2001-10-05,"1,480.95 ",2019-07-24,"5,736.48 ",,"4,255.53 ",
DUKE ENERGY CORP (DUK),Sell.FIFO,32.6667,2001-07-31,"3,841.61 ",2019-06-04,"2,751.63 ",,"(1,089.98)",
DUKE ENERGY CORP (DUK),Sell.FIFO,33.3333,2002-09-18,"2,163.00 ",2019-06-04,"2,807.78 ",,644.78 ,
ENBRIDGE INC (ENB),Sell.FIFO,98.,,0.00 ,2019-07-24,"3,424.19 ",,"3,424.19 ",
GENERAL ELECTRIC CO (GE),Sell.FIFO,302.,,0.00 ,2019-06-04,"2,972.24 ",,"2,972.24 ",
INTEL CORP (INTC),Sell.FIFO,100.,2001-01-16,"3,177.50 ",2019-07-24,"5,197.91 ",,"2,020.41 ",
INTEL CORP (INTC),Sell.FIFO,100.,2001-10-17,"2,005.95 ",2019-07-24,"5,197.90 ",,"3,191.95 ",
ST JOE CO (JOE),Sell.FIFO,100.898,,0.00 ,2019-07-24,"1,835.73 ",,"1,835.73 ",
ST JOE CO (JOE),Sell.FIFO,0.297,2003-03-31,8.07 ,2019-07-24,5.41 ,,(2.66),
ST JOE CO (JOE),Sell.FIFO,0.377,2003-09-30,12.14 ,2019-07-24,6.86 ,,(5.28),
ST JOE CO (JOE),Sell.FIFO,0.321,2003-12-31,12.19 ,2019-07-24,5.84 ,,(6.35),
ST JOE CO (JOE),Sell.FIFO,0.301,2004-03-31,12.23 ,2019-07-24,5.47 ,,(6.76),
ST JOE CO (JOE),Sell.FIFO,0.309,2004-06-30,12.26 ,2019-07-24,5.63 ,,(6.63),
ST JOE CO (JOE),Sell.FIFO,0.302,2004-09-30,14.35 ,2019-07-24,5.49 ,,(8.86),
ST JOE CO (JOE),Sell.FIFO,0.222,2004-12-31,14.39 ,2019-07-24,4.04 ,,(10.35),
ST JOE CO (JOE),Sell.FIFO,0.212,2005-03-31,14.42 ,2019-07-24,3.86 ,,(10.56),
ST JOE CO (JOE),Sell.FIFO,0.176,2005-06-30,14.45 ,2019-07-24,3.20 ,,(11.25),
ST JOE CO (JOE),Sell.FIFO,0.267,2005-09-30,16.55 ,2019-07-24,4.86 ,,(11.69),
ST JOE CO (JOE),Sell.FIFO,0.244,2005-12-30,16.59 ,2019-07-24,4.44 ,,(12.15),
ST JOE CO (JOE),Sell.FIFO,0.266,2006-03-31,16.63 ,2019-07-24,4.84 ,,(11.79),
ST JOE CO (JOE),Sell.FIFO,0.349,2006-06-30,16.67 ,2019-07-24,6.35 ,,(10.32),
ST JOE CO (JOE),Sell.FIFO,0.299,2006-09-29,16.73 ,2019-07-24,5.44 ,,(11.29),
ST JOE CO (JOE),Sell.FIFO,0.315,2006-12-29,16.77 ,2019-07-24,5.73 ,,(11.04),
ST JOE CO (JOE),Sell.FIFO,0.315,2007-03-30,16.82 ,2019-07-24,5.73 ,,(11.09),
ST JOE CO (JOE),Sell.FIFO,0.362,2007-06-29,16.88 ,2019-07-24,6.58 ,,(10.30),
ST JOE CO (JOE),Sell.FIFO,0.168,2007-09-28,5.71 ,2019-07-24,3.06 ,,(2.65),
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,597.208,,0.00 ,2019-06-14,"12,147.21 ",,"12,147.21 ",
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,1.187,2004-12-20,15.30 ,2019-06-14,24.14 ,,8.84 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,8.711,2005-12-19,130.41 ,2019-06-14,177.19 ,,46.78 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,73.273,2006-12-18,"1,225.87 ",2019-06-14,"1,490.37 ",,264.50 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,2.739,2007-12-14,52.84 ,2019-06-14,55.71 ,,2.87 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,0.29,2007-12-14,5.59 ,2019-06-14,5.90 ,,0.31 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,30.623,2007-12-14,590.72 ,2019-06-14,622.87 ,,32.15 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,4.705,2008-12-12,42.25 ,2019-06-14,95.70 ,,53.45 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,29.256,2008-12-12,262.72 ,2019-06-14,595.07 ,,332.35 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,0.311,2009-12-21,4.02 ,2019-06-14,6.32 ,,2.30 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,1.606,2010-12-21,23.25 ,2019-06-14,32.67 ,,9.42 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,6.595,2012-12-18,98.92 ,2019-06-14,134.14 ,,35.22 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,1.046,2013-12-17,21.07 ,2019-06-14,21.28 ,,0.21 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,78.001,2014-12-17,"1,645.83 ",2019-06-14,"1,586.54 ",,(59.29),
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,5.678,2014-12-17,119.81 ,2019-06-14,115.49 ,,(4.32),
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,23.239,2015-12-17,424.57 ,2019-06-14,472.68 ,,48.11 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,2.773,2015-12-17,50.66 ,2019-06-14,56.40 ,,5.74 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,2.188,2016-12-19,43.23 ,2019-06-14,44.51 ,,1.28 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,29.927,2016-12-19,591.36 ,2019-06-14,608.71 ,,17.35 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,9.452,2017-12-19,179.02 ,2019-06-14,192.25 ,,13.23 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,62.592,2017-12-19,"1,185.50 ",2019-06-14,"1,273.13 ",,87.63 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,43.189,2018-12-18,729.46 ,2019-06-14,878.46 ,149.00 ,,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,41.028,2018-12-18,692.96 ,2019-06-14,834.51 ,141.55 ,,
NEWELL BRANDS INC (NWL),Sell.FIFO,100.,2000-12-28,"2,258.75 ",2019-06-04,"1,444.53 ",,(814.22),
REGIONS FINANCIAL CORP (RF),Sell.FIFO,79.,,0.00 ,2019-06-04,"1,128.52 ",,"1,128.52 ",
REGIONS FINANCIAL CORP (RF),Sell.FIFO,21.,2007-11-29,544.40 ,2019-06-04,299.98 ,,(244.42),
RED HAT INC (RHT),Corp Action G/L,100.,,0.00 ,2019-07-09,"19,000.00 ",,"19,000.00 ",
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,297.672,,0.00 ,2019-07-24,"10,534.61 ",,"10,534.61 ",
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.996,2003-12-02,63.68 ,2019-07-24,70.64 ,,6.96 ,
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,2.203,2004-12-02,80.00 ,2019-07-24,77.96 ,,(2.04),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,2.09,2005-12-02,84.50 ,2019-07-24,73.97 ,,(10.53),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.939,2006-12-04,87.23 ,2019-07-24,68.62 ,,(18.61),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,3.104,2007-12-03,148.96 ,2019-07-24,109.85 ,,(39.11),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,4.261,2008-12-02,109.38 ,2019-07-24,150.80 ,,41.42 ,
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,2.427,2009-12-02,89.28 ,2019-07-24,85.89 ,,(3.39),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,3.906,2010-12-02,154.69 ,2019-07-24,138.23 ,,(16.46),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.364,2011-12-22,53.37 ,2019-07-24,48.27 ,,(5.10),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.476,2012-12-19,20.09 ,2019-07-24,16.85 ,,(3.24),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,16.656,2012-12-19,703.55 ,2019-07-24,589.45 ,,(114.10),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,4.567,2012-12-19,192.90 ,2019-07-24,161.63 ,,(31.27),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,18.86,2013-07-02,853.23 ,2019-07-24,667.46 ,,(185.77),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.439,2013-07-02,65.11 ,2019-07-24,50.92 ,,(14.19),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.833,2013-07-02,37.69 ,2019-07-24,29.48 ,,(8.21),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,13.25,2013-12-20,649.37 ,2019-07-24,468.92 ,,(180.45),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.601,2013-12-20,29.47 ,2019-07-24,21.27 ,,(8.20),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.787,2013-12-20,38.56 ,2019-07-24,27.85 ,,(10.71),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.231,2014-07-02,11.35 ,2019-07-24,8.18 ,,(3.17),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.177,2014-07-02,57.90 ,2019-07-24,41.65 ,,(16.25),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,30.548,2014-07-02,"1,502.37 ",2019-07-24,"1,081.09 ",,(421.28),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.508,2014-12-12,21.75 ,2019-07-24,17.98 ,,(3.77),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,54.763,2014-12-12,"2,343.31 ",2019-07-24,"1,938.06 ",,(405.25),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,3.296,2015-07-02,132.25 ,2019-07-24,116.65 ,,(15.60),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,51.057,2015-07-02,"2,048.90 ",2019-07-24,"1,806.91 ",,(241.99),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,38.566,2015-12-11,"1,430.03 ",2019-07-24,"1,364.85 ",,(65.18),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,5.189,2015-12-11,192.40 ,2019-07-24,183.64 ,,(8.76),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.747,2016-07-05,58.07 ,2019-07-24,61.82 ,,3.75 ,
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,59.362,2016-07-05,"1,973.18 ",2019-07-24,"2,100.82 ",,127.64 ,
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,26.594,2016-12-14,968.56 ,2019-07-24,941.16 ,,(27.40),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,2.934,2016-12-14,106.85 ,2019-07-24,103.84 ,,(3.01),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.6,2016-12-14,21.87 ,2019-07-24,21.23 ,,(0.64),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.909,2017-06-29,72.05 ,2019-07-24,67.56 ,,(4.49),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,2.603,2017-06-29,98.25 ,2019-07-24,92.12 ,,(6.13),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,16.488,2017-06-29,622.25 ,2019-07-24,583.51 ,,(38.74),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.681,2017-12-14,27.04 ,2019-07-24,24.10 ,,(2.94),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,27.054,2017-12-14,"1,074.84 ",2019-07-24,957.44 ,,(117.40),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,42.978,2018-06-28,"1,653.78 ",2019-07-24,"1,520.99 ",,(132.79),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,2.195,2018-06-28,84.45 ,2019-07-24,77.69 ,,(6.76),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.6,2018-12-13,50.55 ,2019-07-24,56.62 ,6.07 ,,
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,68.751,2018-12-13,"2,171.84 ",2019-07-24,"2,433.10 ",261.26 ,,
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,24.426,2019-06-26,819.26 ,2019-07-24,864.43 ,45.17 ,,
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,3.786,2019-06-26,126.99 ,2019-07-24,133.99 ,7.00 ,,
SUNTRUST BANKS INC (STI),Sell.FIFO,100.,2000-03-10,"4,774.50 ",2019-06-04,"6,193.91 ",,"1,419.41 ",
AT&T INC (T),Sell.FIFO,95.1,2001-01-16,"3,094.55 ",2019-06-04,"2,955.26 ",,(139.29),
AT&T INC (T),Sell.FIFO,47.9,2001-10-17,"1,558.67 ",2019-06-04,"1,488.51 ",,(70.16),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,327.63,2005-02-17,"9,000.00 ",2019-06-04,"8,913.96 ",,(86.04),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,16.476,2005-12-23,483.25 ,2019-06-04,448.27 ,,(34.98),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,35.526,2006-12-21,"1,212.53 ",2019-06-04,966.56 ,,(245.97),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,8.265,2007-12-19,225.88 ,2019-06-04,224.87 ,,(1.01),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,2.32,2007-12-19,63.41 ,2019-06-04,63.13 ,,(0.28),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,42.853,2007-12-19,"1,171.17 ",2019-06-04,"1,165.91 ",,(5.26),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,12.877,2008-12-23,184.91 ,2019-06-04,350.35 ,,165.44 ,
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,5.734,2009-12-23,115.95 ,2019-06-04,156.01 ,,40.06 ,
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,18.305,2010-12-22,416.81 ,2019-06-04,498.03 ,,81.22 ,
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,3.482,2012-12-18,87.65 ,2019-06-04,94.74 ,,7.09 ,
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,22.198,2012-12-18,558.72 ,2019-06-04,603.95 ,,45.23 ,
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,16.689,2012-12-18,420.07 ,2019-06-04,454.06 ,,33.99 ,
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,4.856,2013-12-18,137.95 ,2019-06-04,132.12 ,,(5.83),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,2.402,2013-12-18,68.23 ,2019-06-04,65.35 ,,(2.88),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,5.477,2013-12-18,155.60 ,2019-06-04,149.02 ,,(6.58),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,10.433,2014-12-09,328.86 ,2019-06-04,283.85 ,,(45.01),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,8.461,2014-12-09,266.69 ,2019-06-04,230.20 ,,(36.49),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,2.147,2015-12-08,62.38 ,2019-06-04,58.42 ,,(3.96),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,3.94,2015-12-08,114.45 ,2019-06-04,107.19 ,,(7.26),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,24.038,2015-12-08,698.31 ,2019-06-04,654.02 ,,(44.29),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,4.83,2016-12-14,146.05 ,2019-06-04,131.41 ,,(14.64),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,5.373,2016-12-14,162.47 ,2019-06-04,146.18 ,,(16.29),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,6.25,2017-12-20,211.99 ,2019-06-04,170.05 ,,(41.94),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,0.908,2017-12-20,30.79 ,2019-06-04,24.70 ,,(6.09),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,29.672,2017-12-20,"1,006.48 ",2019-06-04,807.30 ,,(199.18),
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,11.485,2018-12-19,291.38 ,2019-06-04,312.48 ,21.10 ,,
THIRD AVE REAL ESTATE VALUE (TAREX),Sell.FIFO,55.775,2018-12-19,"1,415.02 ",2019-06-04,"1,517.49 ",102.47 ,,
WABTEC CORP (WAB),Sell.FIFO,0.622,2019-02-26,48.55 ,2019-02-28,45.69 ,(2.86),,
WABTEC CORP (WAB),Sell.FIFO,1.,2019-02-26,78.06 ,2019-06-04,58.32 ,(19.74),,
WELLS FARGO & CO (WFC),Sell.FIFO,216.011,,0.00 ,2019-07-24,"10,239.60 ",,"10,239.60 ",
WELLS FARGO & CO (WFC),Sell.FIFO,0.321,,0.00 ,2019-07-24,15.22 ,,15.22 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.006,2002-12-02,0.18 ,2019-07-24,0.29 ,,0.11 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.29,2002-12-02,30.10 ,2019-07-24,61.15 ,,31.05 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.008,2003-03-03,0.20 ,2019-07-24,0.38 ,,0.18 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.42,2003-03-03,32.45 ,2019-07-24,67.31 ,,34.86 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.008,2003-06-02,0.20 ,2019-07-24,0.38 ,,0.18 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.328,2003-06-02,32.66 ,2019-07-24,62.95 ,,30.29 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.956,2003-09-02,49.59 ,2019-07-24,92.72 ,,43.13 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.736,2003-12-01,50.03 ,2019-07-24,82.29 ,,32.26 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.746,2004-03-01,50.42 ,2019-07-24,82.77 ,,32.35 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.738,2004-06-01,50.81 ,2019-07-24,82.38 ,,31.57 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.858,2004-09-01,54.62 ,2019-07-24,88.08 ,,33.46 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.766,2004-12-01,55.06 ,2019-07-24,83.71 ,,28.65 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.85,2005-03-01,55.49 ,2019-07-24,87.70 ,,32.21 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.828,2005-06-01,55.93 ,2019-07-24,86.65 ,,30.72 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.03,2005-09-01,61.07 ,2019-07-24,96.23 ,,35.16 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.944,2005-12-01,61.59 ,2019-07-24,92.15 ,,30.56 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.926,2006-03-01,62.10 ,2019-07-24,91.30 ,,29.20 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.872,2006-06-01,62.60 ,2019-07-24,88.74 ,,26.14 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.956,2006-09-01,67.94 ,2019-07-24,92.72 ,,24.78 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.947,2006-12-01,68.49 ,2019-07-24,92.29 ,,23.80 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.983,2007-03-01,69.03 ,2019-07-24,94.00 ,,24.97 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.925,2007-06-01,69.59 ,2019-07-24,91.25 ,,21.66 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.133,2007-09-04,77.64 ,2019-07-24,101.12 ,,23.48 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.461,2007-12-03,78.30 ,2019-07-24,116.65 ,,38.35 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.787,2008-03-03,79.07 ,2019-07-24,132.12 ,,53.05 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.953,2008-06-02,79.93 ,2019-07-24,139.98 ,,60.05 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.838,2008-09-02,88.67 ,2019-07-24,134.53 ,,45.86 ,
WELLS FARGO & CO (WFC),Sell.FIFO,3.297,2008-12-01,89.63 ,2019-07-24,156.29 ,,66.66 ,
WELLS FARGO & CO (WFC),Sell.FIFO,8.585,2009-03-02,90.75 ,2019-07-24,406.95 ,,316.20 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.533,2009-06-01,13.78 ,2019-07-24,25.27 ,,11.49 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.521,2009-09-01,13.81 ,2019-07-24,24.70 ,,10.89 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.495,2009-12-01,13.83 ,2019-07-24,23.46 ,,9.63 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.506,2010-03-01,13.86 ,2019-07-24,23.99 ,,10.13 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.481,2010-06-01,13.88 ,2019-07-24,22.80 ,,8.92 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.568,2010-09-01,13.91 ,2019-07-24,26.92 ,,13.01 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.505,2010-12-01,13.93 ,2019-07-24,23.94 ,,10.01 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.438,2011-03-01,13.96 ,2019-07-24,20.76 ,,6.80 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.617,2011-03-31,19.57 ,2019-07-24,29.25 ,,9.68 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.227,2011-06-01,33.62 ,2019-07-24,58.17 ,,24.55 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.291,2011-09-01,33.77 ,2019-07-24,61.19 ,,27.42 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.317,2011-12-01,33.92 ,2019-07-24,62.43 ,,28.51 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.078,2012-03-01,34.08 ,2019-07-24,51.10 ,,17.02 ,
WELLS FARGO & CO (WFC),Sell.FIFO,0.841,2012-03-30,28.51 ,2019-07-24,39.87 ,,11.36 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.036,2012-06-01,62.90 ,2019-07-24,96.51 ,,33.61 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.867,2012-09-04,63.35 ,2019-07-24,88.50 ,,25.15 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.94,2012-12-03,63.76 ,2019-07-24,91.97 ,,28.21 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.06,2013-03-01,72.94 ,2019-07-24,97.65 ,,24.71 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.184,2013-06-03,88.15 ,2019-07-24,103.53 ,,15.38 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.144,2013-09-03,88.81 ,2019-07-24,101.63 ,,12.82 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.017,2013-12-02,89.45 ,2019-07-24,95.61 ,,6.16 ,
WELLS FARGO & CO (WFC),Sell.FIFO,1.951,2014-03-03,90.06 ,2019-07-24,92.48 ,,2.42 ,
WELLS FARGO & CO (WFC),Sell.FIFO,2.077,2014-06-02,105.74 ,2019-07-24,98.46 ,,(7.28),
WELLS FARGO & CO (WFC),Sell.FIFO,2.,2014-09-02,102.72 ,2019-07-24,94.81 ,,(7.91),
WELLS FARGO & CO (WFC),Sell.FIFO,0.073,2014-09-02,3.75 ,2019-07-24,3.46 ,,(0.29),
WELLS FARGO & CO (WFC),Sell.FIFO,1.985,2014-12-01,107.20 ,2019-07-24,94.09 ,,(13.11),
WELLS FARGO & CO (WFC),Sell.FIFO,1.946,2015-03-01,107.89 ,2019-07-24,92.25 ,,(15.64),
WELLS FARGO & CO (WFC),Sell.FIFO,2.073,2015-06-01,116.33 ,2019-07-24,98.27 ,,(18.06),
WELLS FARGO & CO (WFC),Sell.FIFO,2.188,2015-09-01,117.10 ,2019-07-24,103.71 ,,(13.39),
WELLS FARGO & CO (WFC),Sell.FIFO,2.135,2015-12-01,117.92 ,2019-07-24,101.21 ,,(16.71),
WELLS FARGO & CO (WFC),Sell.FIFO,2.48,2016-03-01,118.73 ,2019-07-24,117.56 ,,(1.17),
WELLS FARGO & CO (WFC),Sell.FIFO,2.4,2016-06-01,121.25 ,2019-07-24,113.77 ,,(7.48),
WELLS FARGO & CO (WFC),Sell.FIFO,2.469,2016-08-29,122.16 ,2019-07-24,117.04 ,,(5.12),
WELLS FARGO & CO (WFC),Sell.FIFO,2.369,2016-11-28,123.10 ,2019-07-24,112.29 ,,(10.81),
WELLS FARGO & CO (WFC),Sell.FIFO,2.155,2017-02-24,124.00 ,2019-07-24,102.16 ,,(21.84),
WELLS FARGO & CO (WFC),Sell.FIFO,2.373,2017-05-26,124.82 ,2019-07-24,112.48 ,,(12.34),
WELLS FARGO & CO (WFC),Sell.FIFO,2.514,2017-08-29,129.03 ,2019-07-24,119.18 ,,(9.85),
WELLS FARGO & CO (WFC),Sell.FIFO,1.639,2017-11-29,92.89 ,2019-07-24,77.69 ,,(15.20),
Total:,,,,"95,811.97 ",,"174,061.35 ",711.02 ,"77,538.36 ",
